"alias";"railway";"express";"esr";"name"
"";"В-СИБ";"2055842";"921332";"ТАЙГИНСКИЙ"
"";"В-СИБ";"2054311";"921409";"ХИНГУЙ"
"";"В-СИБ";"2054373";"921429";"КАДУЙ"
"";"В-СИБ";"2054312";"921503";"ХУДОЕЛАНСКАЯ"
"";"В-СИБ";"2055845";"921518";"ПОБЕДА"
"";"В-СИБ";"2054021";"921541";"ВЕРШИНА"
"";"В-СИБ";"2054313";"921607";"ШЕБЕРТА"
"";"В-СИБ";"2054866";"921626";"ВАРЯГ"
"";"В-СИБ";"2054314";"921700";"БУДАГОВО"
"";"В-СИБ";"2054316";"921804";"УТАЙ"
"";"В-СИБ";"2054317";"921908";"КОТИК"
"";"В-СИБ";"2054550";"922008";"ТУЛУН"
"";"В-СИБ";"2054318";"922101";"НЮРА"
"";"В-СИБ";"2054802";"922205";"АЗЕЙ"
"";"В-СИБ";"2054319";"922309";"ШУБА"
